,epoch,phase,loss,overall_dice,diastolic_dice,systolic_dice,time_taken,intersection_size,gpu_memory_allocated,gpu_memory_reserved,batch_size
0,0,train,0.2231528135581866,0.319952752349968,0.3278198446431317,0.314680459884341,3674.114885807037,7460,18292028928,18815647744,2
1,0,val,1.0014080648897326,0.2993216441873335,0.2364596068581611,0.3582167040907008,224.4815571308136,1288,5336839168,18815647744,2
2,1,train,0.1100719107719025,0.7559488568004908,0.7328809160573062,0.7720855666095559,3667.156933069229,7460,18290324480,18815647744,2
3,1,val,0.2192360681791785,0.6784461029872219,0.5949656029603351,0.7445542306499994,223.35055804252625,1288,5327561728,18815647744,2
4,2,train,0.0983879625989681,0.7800558629211466,0.7665294903789809,0.7894654215649343,3519.3885395526886,7460,18292003840,18815647744,2
5,2,val,0.1287449760829288,0.7530878685559695,0.6894284718862266,0.8003858604662536,223.55566310882568,1288,5327823872,18815647744,2
6,3,train,0.0960602175989185,0.785141990621093,0.7723202627726025,0.7940376035152309,3697.908527612686,7460,18290542080,18815647744,2
7,3,val,0.2551707729124905,0.6524478654271514,0.5639037121228156,0.7238661897778862,235.30350947380063,1288,5337695232,18815647744,2
8,4,train,0.0948000806651256,0.7878882315153827,0.7756812693328857,0.7963415780228736,3741.5159537792206,7460,18290275840,18815647744,2
9,4,val,0.5719146418139303,0.4931069926913461,0.4028695679469936,0.5727023697342914,235.624014377594,1288,5336871936,18815647744,2
10,5,train,0.0944924022343015,0.7886711262226748,0.7769894266804555,0.7967532307662503,3728.055329322815,7460,18290677248,18815647744,2
11,5,val,0.1423372491213861,0.7485543791929551,0.680323721562389,0.7996594330902861,237.75255513191223,1288,5333451776,18815647744,2
12,6,train,0.0939052724887826,0.7902460168601643,0.7783459833504656,0.7984729256898787,3756.973294019699,7460,18288973312,18815647744,2
13,6,val,0.0980513190222808,0.7677408019220989,0.7614550365025109,0.7718639201029469,238.82553362846372,1288,5334529024,18815647744,2
14,7,train,0.0935723997567332,0.790727517230508,0.7789779751589573,0.7988414916759743,3708.2480297088623,7460,18287859200,18815647744,2
15,7,val,0.111430773347907,0.6848922540665829,0.6846478895029157,0.6850477214820828,234.03855848312375,1288,5327234048,18815647744,2
16,8,train,0.0932090020580221,0.7917031746668002,0.7791184303653385,0.800381477625021,3733.87699341774,7460,18288813568,18815647744,2
17,8,val,0.5061257594830637,0.5383803152120151,0.4410084435559279,0.6240586319836459,237.23382019996643,1288,5332612096,18815647744,2
18,9,train,0.0924475471033024,0.7946707233696554,0.782051289536889,0.8033504712547717,3710.2044007778168,7460,18291242496,18815647744,2
19,9,val,0.0906733331125428,0.7954378952035441,0.783973462922146,0.8031290329218712,234.88276386260983,1288,5338985472,18815647744,2
20,10,train,0.0919464895257857,0.7954801920231656,0.7826923485014607,0.804268568200507,3687.5306828022,7460,18294068224,18815647744,2
21,10,val,0.1218610214014472,0.7741964081255155,0.7132711249351996,0.8189530252589381,234.32032585144043,1288,5335372800,18815647744,2
22,11,train,0.0925470773289434,0.7944552148473127,0.7818359097501951,0.8031457047717425,3713.0734136104575,7460,18287908352,18815647744,2
23,11,val,0.122346536819133,0.7723080747193604,0.7096742894260871,0.8187053372014159,235.24194765090945,1288,5335332352,18815647744,2
24,12,train,0.0925162731417356,0.7948295269035633,0.7822988705008517,0.8034679435343285,3710.673910617829,7460,18289477120,18815647744,2
25,12,val,0.161995555567551,0.7391809306114727,0.6628010815737218,0.7976891600735994,234.9950225353241,1288,5332177920,18815647744,2
26,13,train,0.091670258620991,0.7960679904908736,0.7837463506724078,0.8045494861063486,3695.646270513535,7460,18290337280,18815647744,2
27,13,val,0.1071021193590042,0.7963941813855937,0.7472982553244317,0.8319050055921289,233.61681056022644,1288,5329208320,18815647744,2
28,14,train,0.091497716541956,0.7969022089758493,0.7845023965621408,0.8054220858502764,3712.496297836304,7460,18285970944,18815647744,2
29,14,val,1.4037992522386804,0.3273126312341847,0.2573276627210014,0.3934319857248427,235.6406762599945,1288,5332071424,18815647744,2
30,15,train,0.090924472157123,0.7983352711352385,0.785812964923187,0.806936048488728,3694.8323760032654,7460,18288215552,18815647744,2
31,15,val,0.1068785648666901,0.7133642307965785,0.7256732008135944,0.7052743353405433,233.57344675064087,1288,5331432448,18815647744,2
32,16,train,0.0906659639031045,0.7992047796205173,0.7871556621574363,0.8074812455924255,3734.815582513809,7460,18289710592,18815647744,2
33,16,val,1.483752244385284,0.3524468423232753,0.2743503906559187,0.4276940931105308,239.09974598884585,1288,5331125248,18815647744,2
34,17,train,0.0908553241868114,0.7990088864362522,0.7863582977112861,0.8076993145725566,3751.3236615657806,7460,18287019520,18815647744,2
35,17,val,0.1081794307990164,0.7977575856521996,0.7493133925369672,0.8322820330883974,236.82962465286252,1288,5332796416,18815647744,2
36,18,train,0.0909550918892018,0.7985608508316469,0.7861495583852051,0.8070807114303514,3708.769220113754,7460,18289837568,18815647744,2
37,18,val,0.2070013811295439,0.2001713098130958,0.1716242159506913,0.2173626505302258,223.9561851024628,1288,5327856640,18815647744,2
38,19,train,0.0904851748808055,0.7997667660045481,0.787828707883165,0.8079597697574377,3521.03280544281,7460,18287613440,18815647744,2
39,19,val,0.1419659870661231,0.5632508153119947,0.5707825605033766,0.5584993777924461,223.6131317615509,1288,5333693440,18815647744,2
